"arquivo","modelo","status","status_primal","status_dual","raw_status","objetivo","tempo_jump_s","tempo_total_s","variaveis","restricoes_sem_bounds","restricoes_com_bounds","madnlp_iterations","madnlp_objective_final_log","madnlp_dual_infeasibility","madnlp_constraint_violation","madnlp_variable_bound_violation","madnlp_complementarity","madnlp_overall_nlp_error","madnlp_total_seconds","madnlp_jacobian_nnz","madnlp_hessian_nnz","erro_solver","log_madnlp"
"jump_2/ex14_1_3_jump.jl","ex14_1_3_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","0.9133678364618976","9.19189190864563","16.071993112564087","4","5","9","14","9.1336783646189756e-01","2.0639845388359390e-09","2.1530560320726089e-11","","9.1345831731782136e-09","9.1345831731782136e-09","","14","6","","logs_madnlp_simples_2/ex14_1_3_jump_madnlp_2.log"
"jump_2/ex_14_1_4_jump.jl","ex_14_1_4_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","2.636975469113362e-8","9.183312892913818","15.939030885696411","4","5","9","6","2.6369754691133620e-08","5.9192960056784328e-11","1.0877498874840700e-11","","9.1683372524821545e-09","9.1683372524821545e-09","","14","8","","logs_madnlp_simples_2/ex_14_1_4_jump_madnlp_2.log"
"jump_2/ex_14_1_5_jump.jl","ex_14_1_5_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","8.176881730345344e-9","9.195812940597534","15.956624984741211","7","7","17","5","8.1768817303453438e-09","1.6905004418672020e-11","6.7948064078460332e-12","","9.1011747230439939e-09","9.1011747230439939e-09","","34","30","","logs_madnlp_simples_2/ex_14_1_5_jump_madnlp_2.log"
"jump_2/ex_14_1_6_jump.jl","ex_14_1_6_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","0.999999999090945","4.762001037597656","9.483138084411621","10","16","32","267","9.9999999909094495e-01","9.0916236182050886e-08","2.2204460492503131e-16","","9.0909343091353685e-09","9.0916236182050886e-08","","74","26","","logs_madnlp_simples_2/ex_14_1_6_jump_madnlp_2.log"
"jump_2/ex_14_1_7_jump.jl","ex_14_1_7_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","1.3543259165075823e-7","9.30717396736145","16.289047956466675","11","18","36","128","1.3543259165075823e-07","7.5996836708560798e-11","4.0130177917468749e-09","","1.7093847135868077e-08","1.7093847135868077e-08","","118","338","","logs_madnlp_simples_2/ex_14_1_7_jump_madnlp_2.log"
"jump_2/ex14_1_8_jump.jl","ex14_1_8_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","0.04141589449183702","9.222945928573608","16.033708810806274","4","5","9","13","4.1415894491837017e-02","3.3270533366295488e-09","4.1103358534193632e-11","","9.6171689370892172e-09","9.6171689370892172e-09","","12","8","","logs_madnlp_simples_2/ex14_1_8_jump_madnlp_2.log"
"jump_2/ex14_1_9_jump.jl","ex14_1_9_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","8.181822531473049e-9","9.249136924743652","16.020435094833374","3","3","5","8","8.1818225314730491e-09","2.8679236713673748e-16","1.3181908737030634e-14","","9.0909462895585847e-09","9.0909462895585847e-09","","6","2","","logs_madnlp_simples_2/ex14_1_9_jump_madnlp_2.log"
"jump_2/ex2_1_1_jump.jl","ex2_1_1_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-17.00000255701434","4.4344260692596436","9.282228946685791","6","2","12","6","-1.7000002557014341e+01","1.4210854715202004e-14","2.1942246996434431e-09","","1.6574247596549889e-08","1.6574247596549889e-08","","16","5","","logs_madnlp_simples_2/ex2_1_1_jump_madnlp_2.log"
"jump_2/ex2_1_2_jump.jl","ex2_1_2_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-213.00000395046058","4.479245185852051","9.28910207748413","7","3","14","7","-2.1300000395046058e+02","9.0308733750762600e-14","4.7184478546569153e-13","","9.0993500368099178e-09","9.0993500368099178e-09","","20","5","","logs_madnlp_simples_2/ex2_1_2_jump_madnlp_2.log"
"jump_2/ex2_1_3_jump.jl","ex2_1_3_jump","LOCALLY_SOLVED","FEASIBLE_POINT","FEASIBLE_POINT","Optimal Solution Found (tol = 1.0e-07).","-15.000000216503896","4.418004035949707","9.213268041610718","14","10","33","6","-1.5000000216503896e+01","9.0932685033596854e-14","3.0677682616442326e-12","","1.9998196303490702e-08","1.9998196303490702e-08","","45","4","","logs_madnlp_simples_2/ex2_1_3_jump_madnlp_2.log"
